pdb_id	chain_id	receptor_name	transducer_family	publication_reference	label_target	label_provenance_category	homology_propagation_risk	provenance_note
6CMO	R	opsd_human	Gi/o	https://dx.doi.org/10.1038/S41586-018-0215-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IU2	R	opsr_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7SQO	R	ox2r_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-30601-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7SR8	R	ox2r_human	Gq/11	https://dx.doi.org/10.1038/S41467-022-30601-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7L1V	R	ox2r_human	Gs	https://dx.doi.org/10.1038/S41467-021-21087-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7RYC	O	oxyr_human	Gq/11	https://dx.doi.org/10.1038/S41594-022-00728-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XXH	R	p2ry1_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8WJX	R	p2ry1_human	Gs		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XXI	A	p2y12_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XOS	R	par1_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XOR	R	par1_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XXV	A	pd2r2_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7CX2	R	pe2r2_human	Gs	https://dx.doi.org/10.1126/SCIADV.ABF1268	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7WU9	R	pe2r3_human	Gi/o	https://dx.doi.org/10.1016/J.CELREP.2022.111323	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8GCP	R	pe2r4_human	Gi/o	https://dx.doi.org/10.1073/PNAS.2216329120	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8GDB	R	pe2r4_human	Gs	https://dx.doi.org/10.1073/PNAS.2216329120	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XJK	R	pf2r_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IQ4	R	pf2r_human	Gs	https://dx.doi.org/10.1038/S41467-023-43922-8	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8X79	R	pi2r_human	Gs	https://dx.doi.org/10.1126/SCIADV.ADK5184	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8ZPS	R	prlhr_human	Gi/o	https://dx.doi.org/10.1038/S41421-024-00724-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8ZPT	R	prlhr_human	Gq/11	https://dx.doi.org/10.1038/S41421-024-00724-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XYD	A	ptafr_human	Gi/o	https://dx.doi.org/10.1016/J.CELREP.2024.114422	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7JHJ	R	q3ksp2_ebvg	Gi/o	https://dx.doi.org/10.1016/J.IMMUNI.2021.06.001	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8K4P	A	q76sf8_hhv8	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8WZ2	R	qrfpr_human	Gq/11	https://dx.doi.org/10.1038/S41421-024-00670-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7YK7	R	rl3r2_human	Gi/o	https://dx.doi.org/10.1038/S41467-023-36182-Z	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7TMW	R	rxfp1_human	Gs		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7TD4	R	s1pr1_human	Gi/o	https://dx.doi.org/10.1038/S41467-022-28417-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7EW2	R	s1pr3_human	Gi/o	https://dx.doi.org/10.1038/S41422-021-00567-W	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7EW1	A	s1pr5_human	Gi/o	https://dx.doi.org/10.1038/S41422-021-00566-X	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XIO	A	ssr1_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7T10	R	ssr2_human	Gi/o	https://dx.doi.org/10.1038/S41594-022-00727-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7Y26	E	ssr2_human	Gq/11	https://dx.doi.org/10.1038/S41589-022-01130-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XIR	A	ssr3_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XMS	R	ssr4_human	Gi/o	https://dx.doi.org/10.1038/S41422-022-00679-X	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8X8L	R	ssr5_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8YKV	R	sucr1_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JPP	R	sucr1_human	Gs	https://dx.doi.org/10.1038/S41422-024-00968-7	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XJN	R	ta2r_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8PM2	R	taa7f_mouse	Gs	https://dx.doi.org/10.1101/2023.07.07.547762	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8W87	R	taar1_human	Gs	https://dx.doi.org/10.1038/S41586-023-06775-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8WCB	R	taar1_mouse	Gq/11	https://dx.doi.org/10.1016/J.CELL.2023.10.014	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8ZSV	R	taar1_mouse	Gs		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IW9	R	taar9_mouse	Gs	https://dx.doi.org/10.1038/S41586-023-06106-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7WKD	R	trfr_human	Gq/11	https://dx.doi.org/10.1038/S41422-022-00641-X	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7UTZ	R	tshr_human	Gs	https://dx.doi.org/10.1038/S41586-022-05159-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7RKM	R	us28_hcmva	Gi/o	https://dx.doi.org/10.1126/SCIADV.ABL5442	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7RKF	R	us28_hcmva	Gq/11	https://dx.doi.org/10.1126/SCIADV.ABL5442	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7DW9	R	v2r_human	Gs	https://dx.doi.org/10.1038/S41422-021-00480-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
9AST	R	xcr1_human	Gi/o	https://dx.doi.org/10.1073/PNAS.2405732121	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
